"state_dist","state_id","district","office_id","state","primary_date","name","party","incumbent","first_name","last_name","unique_cand_id"
"MN04","MN",4,NA,"Minnesota",NA,"Betty McCollum","D","1","Betty","McCollum","MN04_D_McCollum"
"MN04","MN",4,NA,"Minnesota",NA,"Anthony Hernandez","R","0","Anthony","Hernandez","MN04_R_Hernandez"
"MN05","MN",5,NA,"Minnesota",NA,"Keith Ellison","D","1","Keith","Ellison","MN05_D_Ellison"
"MN05","MN",5,NA,"Minnesota",NA,"Chris Fields","R","0","Chris","Fields","MN05_R_Fields"
"MN06","MN",6,NA,"Minnesota",NA,"Jim Graves","D","0","Jim","Graves","MN06_D_Graves"
"MN06","MN",6,NA,"Minnesota",NA,"Michele Bachmann","R","1","Michele","Bachmann","MN06_R_Bachmann"
"MN07","MN",7,NA,"Minnesota",NA,"Collin Peterson","D","1","Collin","Peterson","MN07_D_Peterson"
"MN07","MN",7,NA,"Minnesota",NA,"Lee Byberg","R","0","Lee","Byberg","MN07_R_Byberg"
"MN08","MN",8,NA,"Minnesota",NA,"Rick Nolan","D","0","Rick","Nolan","MN08_D_Nolan"
"MN08","MN",8,NA,"Minnesota",NA,"Chip Cravaack","R","1","Chip","Cravaack","MN08_R_Cravaack"
"MO01","MO",1,NA,"Missouri",NA,"Lacy Clay","D","1","Lacy","Clay","MO01_D_Clay"
"MO01","MO",1,NA,"Missouri",NA,"Robyn Hamlin","R","0","Robyn","Hamlin","MO01_R_Hamlin"
"MO02","MO",2,NA,"Missouri",NA,"Glenn Koenen","D","0","Glenn","Koenen","MO02_D_Koenen"
"MO02","MO",2,NA,"Missouri",NA,"Ann Wagner","R","0","Ann","Wagner","MO02_R_Wagner"
"MO03","MO",3,NA,"Missouri",NA,"Eric Mayer","D","0","Eric","Mayer","MO03_D_Mayer"
"MO03","MO",3,NA,"Missouri",NA,"Blaine Luetkemeyer","R","1","Blaine","Luetkemeyer","MO03_R_Luetkemeyer"
"MO04","MO",4,NA,"Missouri",NA,"Teresa Hensley","D","0","Teresa","Hensley","MO04_D_Hensley"
"MO04","MO",4,NA,"Missouri",NA,"Vicky Hartzler","R","1","Vicky","Hartzler","MO04_R_Hartzler"
"MO05","MO",5,NA,"Missouri",NA,"Emanuel Cleaver","D","1","Emanuel","Cleaver","MO05_D_Cleaver"
"MO05","MO",5,NA,"Missouri",NA,"Jacob Turk","R","0","Jacob","Turk","MO05_R_Turk"
"MO06","MO",6,NA,"Missouri",NA,"Kyle Yarber","D","0","Kyle","Yarber","MO06_D_Yarber"
"MO06","MO",6,NA,"Missouri",NA,"Sam Graves","R","1","Sam","Graves","MO06_R_Graves"
"MO07","MO",7,NA,"Missouri",NA,"Jim Evans","D","0","Jim","Evans","MO07_D_Evans"
"MO07","MO",7,NA,"Missouri",NA,"Billy Long","R","1","Billy","Long","MO07_R_Long"
"MO08","MO",8,NA,"Missouri",NA,"Jack Rushin","D","0","Jack","Rushin","MO08_D_Rushin"
"MO08","MO",8,NA,"Missouri",NA,"Jo Emerson","R","1","Jo","Emerson","MO08_R_Emerson"
"NH01","NH",1,NA,"New Hampshire",NA,"Carol Shea-Porter","D","0","Carol","Shea-Porter","NH01_D_Shea-Porter"
"NH01","NH",1,NA,"New Hampshire",NA,"Frank Guinta","R","1","Frank","Guinta","NH01_R_Guinta"
"NH02","NH",2,NA,"New Hampshire",NA,"Ann Kuster","D","0","Ann","Kuster","NH02_D_Kuster"
"NH02","NH",2,NA,"New Hampshire",NA,"Charles Bass","R","1","Charles","Bass","NH02_R_Bass"
"RI01","RI",1,NA,"Rhode Island",NA,"David Cicilline","D","1","David","Cicilline","RI01_D_Cicilline"
"RI01","RI",1,NA,"Rhode Island",NA,"Brendan Doherty","R","0","Brendan","Doherty","RI01_R_Doherty"
"RI02","RI",2,NA,"Rhode Island",NA,"Jim Langevin","D","1","Jim","Langevin","RI02_D_Langevin"
"RI02","RI",2,NA,"Rhode Island",NA,"Michael Riley","R","0","Michael","Riley","RI02_R_Riley"
"TN01","TN",1,NA,"Tennessee",NA,"Alan Woodruff","D","0","Alan","Woodruff","TN01_D_Woodruff"
"TN01","TN",1,NA,"Tennessee",NA,"Phil Roe","R","1","Phil","Roe","TN01_R_Roe"
"TN02","TN",2,NA,"Tennessee",NA,"Troy Goodale","D","0","Troy","Goodale","TN02_D_Goodale"
"TN02","TN",2,NA,"Tennessee",NA,"John Duncan","R","1","John","Duncan","TN02_R_Duncan"
"TN03","TN",3,NA,"Tennessee",NA,"Mary Headrick","D","0","Mary","Headrick","TN03_D_Headrick"
"TN03","TN",3,NA,"Tennessee",NA,"Chuck Fleischmann","R","1","Chuck","Fleischmann","TN03_R_Fleischmann"
"TN04","TN",4,NA,"Tennessee",NA,"Eric Stewart","D","0","Eric","Stewart","TN04_D_Stewart"
"TN04","TN",4,NA,"Tennessee",NA,"Scott Desjarlais","R","1","Scott","Desjarlais","TN04_R_Desjarlais"
"TN05","TN",5,NA,"Tennessee",NA,"Jim Cooper","D","1","Jim","Cooper","TN05_D_Cooper"
"TN05","TN",5,NA,"Tennessee",NA,"Brad Staats","R","0","Brad","Staats","TN05_R_Staats"
"TN06","TN",6,NA,"Tennessee",NA,"Diane Black","R","1","Diane","Black","TN06_R_Black"
"TN07","TN",7,NA,"Tennessee",NA,"Credo Amouzouvik","D","0","Credo","Amouzouvik","TN07_D_Amouzouvik"
"TN07","TN",7,NA,"Tennessee",NA,"Marsha Blackburn","R","1","Marsha","Blackburn","TN07_R_Blackburn"
"TN08","TN",8,NA,"Tennessee",NA,"Timothy Dixon","D","0","Timothy","Dixon","TN08_D_Dixon"
"TN08","TN",8,NA,"Tennessee",NA,"Stephen Fincher","R","1","Stephen","Fincher","TN08_R_Fincher"
"TN09","TN",9,NA,"Tennessee",NA,"Steve Cohen","D","1","Steve","Cohen","TN09_D_Cohen"
"TN09","TN",9,NA,"Tennessee",NA,"George Flinn","R","0","George","Flinn","TN09_R_Flinn"
"VA11","VA",11,544,"Virginia",NA,"Chris Perkins","R","False","Chris","Perkins","VA11_R_Perkins"
"VT01","VT",1,NA,"Vermont",NA,"Peter Welch","D","1","Peter","Welch","VT01_D_Welch"
"WA01","WA",1,NA,"Washington",NA,"Suzan DelBene","D","0","Suzan","DelBene","WA01_D_DelBene"
"WA01","WA",1,NA,"Washington",NA,"John Koster","R","0","John","Koster","WA01_R_Koster"
"WA02","WA",2,NA,"Washington",NA,"Rick Larsen","D","1","Rick","Larsen","WA02_D_Larsen"
"WA02","WA",2,NA,"Washington",NA,"Dan Matthews","R","0","Dan","Matthews","WA02_R_Matthews"
"WA03","WA",3,NA,"Washington",NA,"Jon Haugen","D","0","Jon","Haugen","WA03_D_Haugen"
"WA03","WA",3,NA,"Washington",NA,"Jaime Beutler","R","1","Jaime","Beutler","WA03_R_Beutler"
"WA04","WA",4,NA,"Washington",NA,"Mary Baechler","D","0","Mary","Baechler","WA04_D_Baechler"
"WA04","WA",4,NA,"Washington",NA,"Doc Hastings","R","1","Doc","Hastings","WA04_R_Hastings"
"WA05","WA",5,NA,"Washington",NA,"Rich Cowan","D","0","Rich","Cowan","WA05_D_Cowan"
