"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"FL02","FL",2,"Florida","Steve Southerland","R",TRUE,"Steve","Southerland","FL02_R_Southerland"
"FL03","FL",3,"Florida","Jacques Gaillot","D",FALSE,"Jacques","Gaillot","FL03_D_Gaillot"
"FL03","FL",3,"Florida","Ted Yoho","R",FALSE,"Ted","Yoho","FL03_R_Yoho"
"FL04","FL",4,"Florida","Ander Crenshaw","R",TRUE,"Ander","Crenshaw","FL04_R_Crenshaw"
"FL05","FL",5,"Florida","Corrine Brown","D",TRUE,"Corrine","Brown","FL05_D_Brown"
"FL05","FL",5,"Florida","LeAnne Kolb","R",FALSE,"LeAnne","Kolb","FL05_R_Kolb"
"FL06","FL",6,"Florida","Heather Beaven","D",FALSE,"Heather","Beaven","FL06_D_Beaven"
"FL06","FL",6,"Florida","Ron DeSantis","R",FALSE,"Ron","DeSantis","FL06_R_DeSantis"
"FL07","FL",7,"Florida","Jason Kendall","D",FALSE,"Jason","Kendall","FL07_D_Kendall"
"FL07","FL",7,"Florida","John Mica","R",TRUE,"John","Mica","FL07_R_Mica"
"FL08","FL",8,"Florida","Shannon Roberts","D",FALSE,"Shannon","Roberts","FL08_D_Roberts"
"FL08","FL",8,"Florida","Bill Posey","R",TRUE,"Bill","Posey","FL08_R_Posey"
"FL09","FL",9,"Florida","Alan Grayson","D",FALSE,"Alan","Grayson","FL09_D_Grayson"
"FL09","FL",9,"Florida","Todd Long","R",FALSE,"Todd","Long","FL09_R_Long"
"FL10","FL",10,"Florida","Val Deming","D",FALSE,"Val","Deming","FL10_D_Deming"
"FL10","FL",10,"Florida","Daniel Webster","R",TRUE,"Daniel","Webster","FL10_R_Webster"
"FL11","FL",11,"Florida","David Werder","D",FALSE,"David","Werder","FL11_D_Werder"
"FL11","FL",11,"Florida","Richard Nugent","R",TRUE,"Richard","Nugent","FL11_R_Nugent"
"FL12","FL",12,"Florida","Jonathan Snow","D",FALSE,"Jonathan","Snow","FL12_D_Snow"
"FL12","FL",12,"Florida","Gus Bilirakis","R",TRUE,"Gus","Bilirakis","FL12_R_Bilirakis"
"FL13","FL",13,"Florida","Jessica Ehrlich","D",FALSE,"Jessica","Ehrlich","FL13_D_Ehrlich"
"FL13","FL",13,"Florida","Bill Young","R",TRUE,"Bill","Young","FL13_R_Young"
"FL14","FL",14,"Florida","Kathy Castor","D",TRUE,"Kathy","Castor","FL14_D_Castor"
"FL14","FL",14,"Florida","Evelio Otero","R",FALSE,"Evelio","Otero","FL14_R_Otero"
"FL15","FL",15,"Florida","Dennis Ross","R",TRUE,"Dennis","Ross","FL15_R_Ross"
"FL16","FL",16,"Florida","Keith Fitzgerald","D",FALSE,"Keith","Fitzgerald","FL16_D_Fitzgerald"
"FL16","FL",16,"Florida","Vernon Buchanan","R",TRUE,"Vernon","Buchanan","FL16_R_Buchanan"
"FL17","FL",17,"Florida","William Bronson","D",FALSE,"William","Bronson","FL17_D_Bronson"
"FL17","FL",17,"Florida","Tom Rooney","R",TRUE,"Tom","Rooney","FL17_R_Rooney"
"FL18","FL",18,"Florida","Patrick Murphy","D",FALSE,"Patrick","Murphy","FL18_D_Murphy"
"FL18","FL",18,"Florida","Allen West","R",TRUE,"Allen","West","FL18_R_West"
"FL19","FL",19,"Florida","Jim Roach","D",FALSE,"Jim","Roach","FL19_D_Roach"
"FL19","FL",19,"Florida","Trey Radel","R",FALSE,"Trey","Radel","FL19_R_Radel"
"FL20","FL",20,"Florida","Alcee Hastings","D",TRUE,"Alcee","Hastings","FL20_D_Hastings"
"FL20","FL",20,"Florida","Joe Goldner","R",FALSE,"Joe","Goldner","FL20_R_Goldner"
"FL21","FL",21,"Florida","Ted Deutch","D",TRUE,"Ted","Deutch","FL21_D_Deutch"
"FL22","FL",22,"Florida","Lois Frankel","D",FALSE,"Lois","Frankel","FL22_D_Frankel"
"FL22","FL",22,"Florida","Adam Hasner","R",FALSE,"Adam","Hasner","FL22_R_Hasner"
"FL23","FL",23,"Florida","Debbie Schultz","D",TRUE,"Debbie","Schultz","FL23_D_Schultz"
"FL23","FL",23,"Florida","Karen Harrington","R",FALSE,"Karen","Harrington","FL23_R_Harrington"
"FL24","FL",24,"Florida","Frederica Wilson","D",TRUE,"Frederica","Wilson","FL24_D_Wilson"
"FL25","FL",25,"Florida","Mario Diaz-Balart","R",TRUE,"Mario","Diaz-Balart","FL25_R_Diaz-Balart"
"FL26","FL",26,"Florida","Joe Garcia","D",FALSE,"Joe","Garcia","FL26_D_Garcia"
"FL26","FL",26,"Florida","David Rivera","R",TRUE,"David","Rivera","FL26_R_Rivera"
"FL27","FL",27,"Florida","Manny Yevancey","D",FALSE,"Manny","Yevancey","FL27_D_Yevancey"
"FL27","FL",27,"Florida","Ileana Ros","R",TRUE,"Ileana","Ros","FL27_R_Ros"
"GA01","GA",1,"Georgia","Lesli Messinger","D",FALSE,"Lesli","Messinger","GA01_D_Messinger"
"GA01","GA",1,"Georgia","Jack Kingston","R",TRUE,"Jack","Kingston","GA01_R_Kingston"
"GA02","GA",2,"Georgia","Sanford Bishop","D",TRUE,"Sanford","Bishop","GA02_D_Bishop"
"GA02","GA",2,"Georgia","John Allen","R",FALSE,"John","Allen","GA02_R_Allen"
"GA03","GA",3,"Georgia","Lynn Westmoreland","R",TRUE,"Lynn","Westmoreland","GA03_R_Westmoreland"
"GA04","GA",4,"Georgia","Hank Johnson","D",TRUE,"Hank","Johnson","GA04_D_Johnson"
"GA04","GA",4,"Georgia","Chris Vaughn","R",FALSE,"Chris","Vaughn","GA04_R_Vaughn"
"GA05","GA",5,"Georgia","John Lewis","D",TRUE,"John","Lewis","GA05_D_Lewis"
"GA05","GA",5,"Georgia","Howard Stopeck","R",FALSE,"Howard","Stopeck","GA05_R_Stopeck"
"GA06","GA",6,"Georgia","Jeff Kazanow","D",FALSE,"Jeff","Kazanow","GA06_D_Kazanow"
"GA06","GA",6,"Georgia","Tom Price","R",TRUE,"Tom","Price","GA06_R_Price"
"GA07","GA",7,"Georgia","Steve Reilly","D",FALSE,"Steve","Reilly","GA07_D_Reilly"
"GA07","GA",7,"Georgia","Rob Woodall","R",TRUE,"Rob","Woodall","GA07_R_Woodall"
"GA08","GA",8,"Georgia","Austin Scott","R",TRUE,"Austin","Scott","GA08_R_Scott"
"GA09","GA",9,"Georgia","Jody Cooley","D",FALSE,"Jody","Cooley","GA09_D_Cooley"
"GA09","GA",9,"Georgia","Doug Collins","R",FALSE,"Doug","Collins","GA09_R_Collins"
"GA10","GA",10,"Georgia","Paul Broun","R",TRUE,"Paul","Broun","GA10_R_Broun"
"GA11","GA",11,"Georgia","Patrick Thompson","D",FALSE,"Patrick","Thompson","GA11_D_Thompson"
"GA11","GA",11,"Georgia","Phil Gingrey","R",TRUE,"Phil","Gingrey","GA11_R_Gingrey"
